Marina Trace Analysis Report
GeneratedAtUTC: 2026-05-15T12:00:00Z
  sharedCandidateSummary: family=analytics,source=heuristic,operation=sum,measure=spend,entities=filter:card:apple card:medium;filter:category:food & drink:medium,responseHint=summaryCard,validator=executable:sum:spend:shape=summaryCard,plan=operation=sum,measure=spend,targets=2,date=nil,comparison=nil,shape=summaryCard,selectionRank=1,operationPreserved=true
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: filter:card:Apple Card:9D1DE038-4094-4348-B257-FBF4A0FF1F3D;filter:category:Food & Drink:52F56209-AEEB-4B78-B148-035ACE20F953
  sharedTimeScopes: nil
  sharedValidatorOutcome: executable:sum:spend
  sharedAggregationPlanSummary: operation=sum,measure=spend,targets=filter:card:Apple Card;filter:category:Food & Drink,primary=nil,comparison=nil,grouping=nil,ranking=nil,shape=summaryCard
  sharedExecutorResultShape: route=aggregate;amountBasis=budgetImpact;composableWorkspace=filteredSpend,resultCount=0,total=0.0
  sharedResponseBridgeShape: kind=message,title=Filtered Spending,rows=0,responseShape=summaryCard,suggestions=2
  sharedFallbackReason: nil
  sharedFailureLayer: handled
  sharedFailureBucket: handled
- prompt: How much of my spending this month was Food & Drink?
  group: stress_messy_manual_2026_05
  expectedOperation: share_of_total
  expectedMeasure: categorySpendShare
  expectedEntityScope: category
  expectedTarget: Food & Drink
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=sum | measure=categoryShare
  actualTarget: primaryTarget:category:Food & Drink:52F56209-AEEB-4B78-B148-035ACE20F953
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: nil
  aggregationPath: shared_pipeline
  responseType: kind=message,title=Category Spend Share,rows=0,responseShape=groupedBreakdown,suggestions=2
  verdictRaw: handled
  likelySmallestFix: none
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: sum
  sharedCandidateMeasure: categoryShare
  sharedCandidateSummary: family=analytics,source=heuristic,operation=sum,measure=categoryShare,entities=primaryTarget:category:food & drink:medium,timeScopes=primary:nil:month:2026-05-01...2026-06-01,grouping=category:nil,responseHint=groupedBreakdown,validator=executable:sum:categoryShare:shape=groupedBreakdown,plan=metric=categorySpendShare,target=Food & Drink,date=2026-05-01..2026-06-01,comparison=nil,selectionRank=1,operationPreserved=true
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: primaryTarget:category:Food & Drink:52F56209-AEEB-4B78-B148-035ACE20F953
  sharedTimeScopes: primary:nil:month:2026-05-01..2026-06-01
  sharedValidatorOutcome: executable:sum:categoryShare
  sharedAggregationPlanSummary: operation=sum,measure=categoryShare,targets=primaryTarget:category:Food & Drink,primary=2026-05-01..2026-06-01,comparison=nil,grouping=category,ranking=nil,shape=groupedBreakdown
  sharedExecutorResultShape: route=groupedRanked;amountBasis=budgetImpact;message:Category Spend Share
  sharedResponseBridgeShape: kind=message,title=Category Spend Share,rows=0,responseShape=groupedBreakdown,suggestions=2
  sharedFallbackReason: nil
  sharedFailureLayer: handled
  sharedFailureBucket: handled
- prompt: Is Shopping over where it should be for this budget?
  group: stress_messy_manual_2026_05
  expectedOperation: compare_to_limit
  expectedMeasure: categoryBudgetAvailability
  expectedEntityScope: category
  expectedTarget: Shopping
  expectedPrimaryDateRange: current_budget
  expectedComparisonDateRange: nil
  expectedPresentationIntent: comparison
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=compare | measure=remainingBudget
  actualTarget: primaryTarget:category:Shopping:3543011E-06BD-49A9-82DA-E4F791556DF4
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: kind=message,title=I need a narrower query,rows=1,responseShape=unsupported,suggestions=0
  verdictRaw: typed unsupported:unsupportedBudgetLimit
  likelySmallestFix: classify unsupported or clarification outcomes without collapsing to scalar spend
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: compare
  sharedCandidateMeasure: remainingBudget
  sharedCandidateSummary: family=analytics,source=heuristic,operation=compare,measure=remainingBudget,entities=primaryTarget:category:shopping:medium,responseHint=unsupported,validator=unsupported:unsupportedCombination,selectionRank=5,operationPreserved=true
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: primaryTarget:category:Shopping:3543011E-06BD-49A9-82DA-E4F791556DF4
  sharedTimeScopes: nil
  sharedValidatorOutcome: unsupported:unsupportedCombination
  sharedAggregationPlanSummary: nil
  sharedExecutorResultShape: nil
  sharedResponseBridgeShape: kind=message,title=I need a narrower query,rows=1,responseShape=unsupported,suggestions=0
  sharedFallbackReason: nil
  sharedFailureLayer: validation
  sharedFailureBucket: typed unsupported:unsupportedBudgetLimit
- prompt: What category changed the most compared to last month?
  group: stress_messy_manual_2026_05
  expectedOperation: ranked_list
  expectedMeasure: categoryMonthComparisonRanked
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: last_month
  expectedPresentationIntent: list
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=compare | measure=spend
  actualTarget: nil
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: 2026-04-01..2026-05-01
  aggregationPath: shared_pipeline
  responseType: kind=message,title=Spending Increase Drivers,rows=0,responseShape=rankedList,suggestions=2
  verdictRaw: handled
  likelySmallestFix: none
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: compare
  sharedCandidateMeasure: spend
  sharedCandidateSummary: family=analytics,source=heuristic,operation=compare,measure=spend,timeScopes=primary:nil:month:2026-05-01...2026-06-01;comparison:nil:month:2026-04-01...2026-05-01,grouping=category:nil,ranking=largest:nil:nil,responseHint=rankedList,validator=executable:compare:spend:shape=rankedList,plan=operation=compare,measure=spend,targets=0,date=2026-05-01..2026-06-01,comparison=2026-04-01..2026-05-01,shape=rankedList,selectionRank=2,operationPreserved=false
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: nil
  sharedTimeScopes: primary:nil:month:2026-05-01..2026-06-01;comparison:nil:month:2026-04-01..2026-05-01
  sharedValidatorOutcome: executable:compare:spend
  sharedAggregationPlanSummary: operation=compare,measure=spend,targets=,primary=2026-05-01..2026-06-01,comparison=2026-04-01..2026-05-01,grouping=category,ranking=largest,shape=comparison
  sharedExecutorResultShape: route=comparison;amountBasis=budgetImpact;composableWorkspace=categoryDeltaDrivers,resultCount=0
  sharedResponseBridgeShape: kind=message,title=Spending Increase Drivers,rows=0,responseShape=rankedList,suggestions=2
  sharedFallbackReason: nil
  sharedFailureLayer: handled
  sharedFailureBucket: handled
- prompt: What was my average weekly spending on groceries over the last 3 months?
  group: stress_messy_manual_2026_05
  expectedOperation: average
  expectedMeasure: categoryAverageSpend
  expectedEntityScope: category
  expectedTarget: groceries
  expectedPrimaryDateRange: last_3_months
  expectedComparisonDateRange: nil
  expectedPresentationIntent: metric
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=average | measure=spend
  actualTarget: nil
  actualPrimaryDateRange: 2026-02-15..2026-05-15
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: kind=message,title=I need one choice first,rows=1,responseShape=clarification,suggestions=0
  verdictRaw: unresolved entity mention
  likelySmallestFix: resolve card/category mentions before adapter execution and keep unresolved spans explicit
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: average
  sharedCandidateMeasure: spend
  sharedCandidateSummary: family=analytics,source=heuristic,operation=average,measure=spend,entities=primaryTarget:unknown:weekly:medium,timeScopes=lookbackWindow:nil:month:2026-02-15...2026-05-15,grouping=week:nil,responseHint=summaryCard,validator=clarification:missingTarget,selectionRank=3,operationPreserved=true
  sharedUnresolvedEntityMentions: primaryTarget:unknown:weekly:medium
  sharedResolvedEntityStates: nil
  sharedTimeScopes: lookbackWindow:nil:month:2026-02-15..2026-05-15
  sharedValidatorOutcome: clarification:missingTarget
  sharedAggregationPlanSummary: nil
  sharedExecutorResultShape: nil
  sharedResponseBridgeShape: kind=message,title=I need one choice first,rows=1,responseShape=clarification,suggestions=0
  sharedFallbackReason: nil
  sharedFailureLayer: entity resolution
  sharedFailureBucket: unresolved entity mention
- prompt: If I keep spending like this, how much will I have left by the end of the period?
  group: stress_messy_manual_2026_05
  expectedOperation: forecast
  expectedMeasure: projectedRemainingBudget
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: current_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: forecast
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=forecast | measure=remainingBudget
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: none
  responseType: kind=message,title=I can answer this a different way,rows=1,responseShape=unsupported,suggestions=0
  verdictRaw: typed unsupported:unsupportedProjection
  likelySmallestFix: classify unsupported or clarification outcomes without collapsing to scalar spend
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: forecast
  sharedCandidateMeasure: remainingBudget
  sharedCandidateSummary: family=analytics,source=heuristic,operation=forecast,measure=remainingBudget,responseHint=unsupported,validator=unsupported:unsupportedOperation,selectionRank=6,operationPreserved=false
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: nil
  sharedTimeScopes: nil
  sharedValidatorOutcome: unsupported:unsupportedOperation
  sharedAggregationPlanSummary: nil
  sharedExecutorResultShape: nil
  sharedResponseBridgeShape: kind=message,title=I can answer this a different way,rows=1,responseShape=unsupported,suggestions=0
  sharedFallbackReason: nil
  sharedFailureLayer: validation
  sharedFailureBucket: typed unsupported:unsupportedProjection
- prompt: If I add $75 to Shopping, does Transportation still have room?
  group: stress_messy_manual_2026_05
  expectedOperation: what_if
  expectedMeasure: simulation
  expectedEntityScope: category_pair
  expectedTarget: Shopping
  expectedPrimaryDateRange: current_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: what_if
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=simulate | measure=remainingBudget
  actualTarget: simulationInput:category:Shopping:3543011E-06BD-49A9-82DA-E4F791556DF4;simulationOutput:category:Transportation:F0AF1EEC-3C78-4B4B-8162-6BDBE365EF96
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: shared_pipeline
  responseType: kind=list,title=What-If Budget Impact,rows=2,responseShape=summaryCard,suggestions=2
  verdictRaw: handled
  likelySmallestFix: none
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: simulate
  sharedCandidateMeasure: remainingBudget
  sharedCandidateSummary: family=analytics,source=heuristic,operation=simulate,measure=remainingBudget,entities=simulationInput:category:shopping:medium;simulationOutput:category:transportation:medium,responseHint=summaryCard,validator=executable:simulate:remainingBudget:shape=summaryCard,plan=operation=simulate,measure=remainingBudget,targets=2,date=nil,comparison=nil,shape=summaryCard,selectionRank=1,operationPreserved=true
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: simulationInput:category:Shopping:3543011E-06BD-49A9-82DA-E4F791556DF4;simulationOutput:category:Transportation:F0AF1EEC-3C78-4B4B-8162-6BDBE365EF96
  sharedTimeScopes: nil
  sharedValidatorOutcome: executable:simulate:remainingBudget
  sharedAggregationPlanSummary: operation=simulate,measure=remainingBudget,targets=simulationInput:category:Shopping;simulationOutput:category:Transportation,primary=nil,comparison=nil,grouping=nil,ranking=nil,shape=summaryCard
  sharedExecutorResultShape: route=scenario;amountBasis=budgetImpact;composableWorkspace=simulation,amount=75.0,target=Shopping
  sharedResponseBridgeShape: kind=list,title=What-If Budget Impact,rows=2,responseShape=summaryCard,suggestions=2
  sharedFallbackReason: nil
  sharedFailureLayer: handled
  sharedFailureBucket: handled
- prompt: What expenses are making this month higher than last month?
  group: stress_messy_manual_2026_05
  expectedOperation: ranked_list
  expectedMeasure: transactionDeltaDrivers
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: this_month
  expectedComparisonDateRange: last_month
  expectedPresentationIntent: list
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=compare | measure=spend
  actualTarget: nil
  actualPrimaryDateRange: 2026-05-01..2026-06-01
  actualComparisonDateRange: 2026-04-01..2026-05-01
  aggregationPath: shared_pipeline
  responseType: kind=message,title=Spending Increase Drivers,rows=0,responseShape=rankedList,suggestions=2
  verdictRaw: handled
  likelySmallestFix: none
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: compare
  sharedCandidateMeasure: spend
  sharedCandidateSummary: family=analytics,source=heuristic,operation=compare,measure=spend,timeScopes=primary:nil:month:2026-05-01...2026-06-01;comparison:nil:month:2026-04-01...2026-05-01,grouping=transaction:nil,ranking=largest:nil:nil,responseHint=rankedList,validator=executable:compare:spend:shape=rankedList,plan=operation=compare,measure=spend,targets=0,date=2026-05-01..2026-06-01,comparison=2026-04-01..2026-05-01,shape=rankedList,selectionRank=2,operationPreserved=false
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: nil
  sharedTimeScopes: primary:nil:month:2026-05-01..2026-06-01;comparison:nil:month:2026-04-01..2026-05-01
  sharedValidatorOutcome: executable:compare:spend
  sharedAggregationPlanSummary: operation=compare,measure=spend,targets=,primary=2026-05-01..2026-06-01,comparison=2026-04-01..2026-05-01,grouping=transaction,ranking=largest,shape=comparison
  sharedExecutorResultShape: route=comparison;amountBasis=budgetImpact;composableWorkspace=categoryDeltaDrivers,resultCount=0
  sharedResponseBridgeShape: kind=message,title=Spending Increase Drivers,rows=0,responseShape=rankedList,suggestions=2
  sharedFallbackReason: nil
  sharedFailureLayer: handled
  sharedFailureBucket: handled
- prompt: Show me the stuff I’m spending on too often, not necessarily the most money.
  group: stress_messy_manual_2026_05
  expectedOperation: ranked_list
  expectedMeasure: frequentMerchants
  expectedEntityScope: global
  expectedTarget: nil
  expectedPrimaryDateRange: default_period
  expectedComparisonDateRange: nil
  expectedPresentationIntent: list
  selectedRoute: sharedHeuristic
  fallbackReplacedModelOutput: false
  modelSummary: nil
  fallbackSummary: nil
  actualMetricOperation: operation=rank | measure=transactionFrequency
  actualTarget: nil
  actualPrimaryDateRange: nil
  actualComparisonDateRange: nil
  aggregationPath: shared_pipeline
  responseType: kind=message,title=I need a narrower query,rows=1,responseShape=unsupported,suggestions=0
  verdictRaw: handled
  likelySmallestFix: none
  sharedPath: sharedHeuristic
  sharedSelectedInterpreter: heuristic
  sharedCandidateOperation: rank
  sharedCandidateMeasure: transactionFrequency
  sharedCandidateSummary: family=analytics,source=heuristic,operation=rank,measure=transactionFrequency,grouping=transaction:nil,ranking=mostFrequent:nil:nil,responseHint=rankedList,validator=unsupported:unsupportedCombination,selectionRank=6,operationPreserved=false
  sharedUnresolvedEntityMentions: nil
  sharedResolvedEntityStates: nil
  sharedTimeScopes: nil
  sharedValidatorOutcome: executable:rank:transactionFrequency
  sharedAggregationPlanSummary: operation=rank,measure=transactionFrequency,targets=,primary=nil,comparison=nil,grouping=transaction,ranking=mostFrequent,shape=rankedList
  sharedExecutorResultShape: nil
  sharedResponseBridgeShape: kind=message,title=I need a narrower query,rows=1,responseShape=unsupported,suggestions=0
  sharedFallbackReason: nil
  sharedFailureLayer: handled
  sharedFailureBucket: handled

rowsByGroup
- stress_messy_manual_2026_05: 45
- core: 38

failuresByBucket
- correct: 31
- comparison range failure: 13
- aggregation execution failure: 12
- metric/operation mapping failure: 6
- unsupported capability: 6

failuresByRootCauseFamily
- correct: 31
- entity_and_time_resolution: 13
- execution: 12
- capability_gap: 6
- interpretation_and_mapping: 6

sharedFailuresByBucket
- handled: 12
- typed unsupported:unsupportedBudgetLimit: 1
- typed unsupported:unsupportedProjection: 1
- unresolved entity mention: 1

sharedFailuresByLayer
- handled: 12
- validation: 2
- entity resolution: 1

nextPhaseRecommendation
- Phase 1: mapping hardening for average/targeted operations + explicit unsupported capability labels
